2021-03-07/10:39:01		 wafer_20022020_090716.csv: File loaded successfully!!
2021-03-07/10:39:01		 wafer_20022020_090716.csv: File loaded successfully!!
2021-03-07/10:39:01		 wafer_20022020_090716.csv: File loaded successfully!!
2021-03-07/10:39:01		 wafer_20022020_090716.csv: File loaded successfully!!
2021-03-07/10:39:01		 wafer_20022020_090716.csv: File loaded successfully!!
2021-03-07/10:39:01		 wafer_20022020_090716.csv: File loaded successfully!!
2021-03-07/10:39:01		 wafer_20022020_090716.csv: File loaded successfully!!
2021-03-07/10:39:01		 wafer_20022020_090716.csv: File loaded successfully!!
2021-03-07/10:39:02		 wafer_20022020_090716.csv: File loaded successfully!!
2021-03-07/10:39:02		 wafer_20022020_090716.csv: File loaded successfully!!
2021-03-07/10:39:02		 wafer_20022020_090716.csv: File loaded successfully!!
2021-03-07/10:39:02		 wafer_20022020_090716.csv: File loaded successfully!!
2021-03-07/10:39:02		 wafer_20022020_090716.csv: File loaded successfully!!
2021-03-07/10:39:02		 wafer_20022020_090716.csv: File loaded successfully!!
2021-03-07/10:39:02		 wafer_20022020_090716.csv: File loaded successfully!!
2021-03-07/10:39:02		 wafer_20022020_090716.csv: File loaded successfully!!
2021-03-07/10:39:02		 wafer_20022020_090716.csv: File loaded successfully!!
2021-03-07/10:39:02		 wafer_20022020_090716.csv: File loaded successfully!!
2021-03-07/10:39:03		 wafer_20022020_090716.csv: File loaded successfully!!
2021-03-07/10:39:03		 wafer_20022020_090716.csv: File loaded successfully!!
2021-03-07/10:39:03		 wafer_20022020_090716.csv: File loaded successfully!!
2021-03-07/10:39:03		 wafer_20022020_090716.csv: File loaded successfully!!
2021-03-07/10:39:03		 wafer_20022020_090716.csv: File loaded successfully!!
2021-03-07/10:39:03		 wafer_20022020_090716.csv: File loaded successfully!!
2021-03-07/10:39:03		 wafer_20022020_090716.csv: File loaded successfully!!
2021-03-07/10:39:03		 wafer_20022020_090716.csv: File loaded successfully!!
2021-03-07/10:39:03		 wafer_20022020_090716.csv: File loaded successfully!!
2021-03-07/10:39:04		 wafer_20022020_090716.csv: File loaded successfully!!
2021-03-07/10:39:04		 wafer_20022020_090716.csv: File loaded successfully!!
2021-03-07/10:39:04		 wafer_20022020_090716.csv: File loaded successfully!!
2021-03-07/10:39:04		 wafer_20022020_090716.csv: File loaded successfully!!
2021-03-07/10:39:04		 wafer_20022020_090716.csv: File loaded successfully!!
2021-03-07/10:39:04		 wafer_20022020_090716.csv: File loaded successfully!!
2021-03-07/10:39:04		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:04		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:04		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:05		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:05		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:05		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:05		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:05		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:05		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:05		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:05		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:06		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:06		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:06		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:06		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:06		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:06		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:06		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:06		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:07		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:07		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:07		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:07		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:07		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:07		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:07		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:07		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:07		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:08		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:08		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:08		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:08		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:08		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:08		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:08		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:08		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:08		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:08		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:08		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:09		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:09		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:09		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:09		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:09		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:09		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:09		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:09		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:09		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:10		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:10		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:10		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:10		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:10		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:10		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:10		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:10		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:10		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:11		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:11		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:11		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:11		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:11		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:11		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:11		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:11		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:12		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:12		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:12		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:12		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:12		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:12		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:12		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:12		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:12		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:13		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:13		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:13		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:13		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:13		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:13		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:13		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:13		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:13		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:14		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:14		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:14		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:14		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:14		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:14		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:14		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:14		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:14		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:14		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:15		 wafer_21012020_080913.csv: File loaded successfully!!
